23	29	1
24	25	2
24	31	2
25	31	2
24	27	3
2	32	4
2	8	4
23	27	5
26	29	6
23	25	7
2	27	8
18	33	9
22	32	9
20	32	9
14	32	9
15	33	9
18	32	9
20	33	9
14	33	9
15	32	9
22	33	9
29	32	10
23	33	10
26	33	10
29	33	10
23	32	10
27	33	10
1	30	11
0	31	12
13	33	13
19	33	13
0	4	14
0	5	14
0	10	14
0	6	14
0	8	15
16	5	16
10	4	16
10	5	16
16	6	16
4	6	16
5	6	16
0	11	17
33	8	18
30	8	18
30	32	18
30	33	18
32	33	18
32	8	18
2	9	19
2	28	19
28	31	20
31	33	21
28	33	21
31	32	21
33	9	21
0	21	22
1	17	22
0	7	22
2	7	22
0	13	22
1	21	22
1	19	22
1	3	22
0	19	22
0	2	22
1	13	22
0	12	22
1	2	22
0	3	22
2	3	22
0	17	22
3	7	22
13	2	22
0	1	22
13	3	22
1	7	22
12	3	22
