1	5 10 15 25 
2	20 
3	2 3 4 21 
4	20 
5	5 12 15 23 
6	10 11 15 20 
7	3 10 11 15 
8	2 3 4 8 
9	26 
10	1 7 18 26 
11	13 
12	6 9 16 24 
13	3 
14	16 
15	28 
16	5 7 12 17 
17	7 11 15 20 
18	17 
19	12 
20	13 
21	24 
22	14 22 25 26 
23	1 14 25 28 
24	19 
25	2 6 14 22 
26	10 11 15 21 
27	10 11 15 22 
28	13 
29	1 16 21 22 
30	8 12 17 20 
31	27 
32	2 
33	6 16 24 27 
34	6 16 25 27 
35	12 
36	18 
37	5 12 17 27 
38	27 
39	16 
40	19 
41	17 
42	23 
43	5 12 23 27 
44	13 
45	16 
46	6 
47	3 6 19 25 
48	6 9 12 21 
49	5 7 13 18 
50	4 8 22 25 
51	2 6 10 16 
52	7 11 15 20 
53	7 
54	19 
55	8 
56	6 
57	27 
58	14 21 22 24 
59	23 
60	3 17 21 26 
61	4 7 8 27 
62	1 13 22 25 
63	6 9 13 17 
64	3 
65	12 
66	11 
67	1 11 13 21 
68	5 12 20 22 
69	22 
70	9 11 16 17 
71	2 4 8 21 
72	7 18 20 26 
73	22 
74	1 13 25 28 
75	27 
76	6 9 21 23 
77	2 10 11 15 
78	10 11 12 15 
79	11 
80	21 
81	2 
82	7 18 24 26 
83	27 
84	5 
85	11 
86	3 
87	17 
88	12 
89	2 7 16 18 
90	10 11 15 20 
91	10 11 15 20 
92	20 
93	2 
94	6 16 20 24 
95	7 
96	13 
97	25 
98	2 3 8 14 
99	8 10 11 15 
100	3 7 18 23 
101	3 
102	24 
103	21 22 25 27 
104	28 
105	17 
106	5 
107	18 
108	10 11 15 20 
109	6 9 17 19 
110	11 
111	3 7 18 23 
112	1 
113	24 
114	6 13 16 27 
115	2 21 22 25 
116	2 6 14 24 
117	22 
118	28 
119	20 
120	8 13 17 20 
121	2 6 14 21 
122	4 
123	1 12 13 19 
124	9 
125	7 18 21 26 
126	8 10 11 15 
127	10 11 13 15 
128	9 12 17 21 
129	17 
130	23 
131	5 
132	13 19 27 28 
133	5 
134	10 11 20 27 
135	12 16 19 20 
136	3 
137	8 
138	1 2 9 14 
139	18 
140	7 9 23 27 
141	9 
142	1 3 4 25 
143	3 7 16 18 
144	27 
145	1 
146	23 
147	27 
148	28 
149	8 
150	3 21 23 25 
151	3 
152	14 22 24 25 
153	23 
154	3 
155	14 
156	3 
157	12 
158	2 
159	3 10 11 15 
160	20 
161	5 8 9 21 
162	5 8 17 21 
163	6 9 10 11 
164	7 18 23 26 
165	5 10 11 15 
166	7 10 15 20 
167	4 7 26 28 
168	9 
169	22 
170	1 10 15 25 
171	15 
172	11 15 25 26 
173	8 
174	15 
175	28 
176	4 9 22 25 
177	6 
178	5 
179	25 
180	11 
181	8 10 11 25 
182	3 15 19 25 
183	5 17 22 23 
184	6 10 16 27 
185	12 
186	23 
187	21 
188	10 20 21 25 
189	6 
190	2 3 6 12 
191	2 5 7 12 
192	1 13 19 28 
193	14 21 22 25 
194	13 17 23 28 
195	6 10 15 20 
196	9 
197	20 
198	8 
199	2 3 4 8 
